Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE231,SAMN11840517,SRR9124713,Y18,2018-07-24,Y18_Plot6,Ambient,Y18_Plot6_06,leaf,FACE
FACE200,SAMN11840514,SRR9124714,Y18,2018-07-17,Y18_Plot6,Ambient,Y18_Plot6_04,leaf,FACE
FACE229,SAMN11840515,SRR9124715,Y18,2018-07-24,Y18_Plot6,Ambient,Y18_Plot6_05,spike,FACE
FACE262,SAMN11840520,SRR9124716,Y18,2018-07-31,Y18_Plot6,Ambient,Y18_Plot6_07,spike,FACE
FACE263,SAMN11840521,SRR9124717,Y18,2018-07-31,Y18_Plot6,Ambient,Y18_Plot6_08,leaf,FACE
FACE232,SAMN11840518,SRR9124718,Y18,2018-07-24,Y18_Plot6,Ambient,Y18_Plot6_06,leaf,FACE
FACE261,SAMN11840519,SRR9124719,Y18,2018-07-31,Y18_Plot6,Ambient,Y18_Plot6_07,spike,FACE
FACE068,SAMN11840351,SRR9124720,Y17,2017-08-07,Y17_Plot3,Ambient,Y17_Plot3_10,leaf,FACE
FACE107,SAMN11840389,SRR9124721,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_06,spike,FACE
FACE264,SAMN11840522,SRR9124722,Y18,2018-07-31,Y18_Plot6,Ambient,Y18_Plot6_08,leaf,FACE
FACE169,SAMN11840523,SRR9124723,Y18,2018-07-10,Y18_Plot7,Elevated,Y18_Plot7_01,spike,FACE
FACE102,SAMN11840384,SRR9124724,Y17,2017-07-24,Y17_Plot5,Elevated,Y17_Plot5_03,leaf,FACE
FACE103,SAMN11840385,SRR9124725,Y17,2017-07-24,Y17_Plot5,Elevated,Y17_Plot5_04,spike,FACE
FACE104,SAMN11840386,SRR9124726,Y17,2017-07-24,Y17_Plot5,Elevated,Y17_Plot5_04,leaf,FACE
FACE105,SAMN11840387,SRR9124727,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_05,spike,FACE
FACE115,SAMN11840397,SRR9124728,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_10,spike,FACE
FACE114,SAMN11840396,SRR9124729,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_09,leaf,FACE
FACE113,SAMN11840395,SRR9124730,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_09,spike,FACE
FACE112,SAMN11840394,SRR9124731,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_08,leaf,FACE
FACE119,SAMN11840401,SRR9124732,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_12,spike,FACE
FACE118,SAMN11840400,SRR9124733,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_11,leaf,FACE
FACE117,SAMN11840399,SRR9124734,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_11,spike,FACE
FACE116,SAMN11840398,SRR9124735,Y17,2017-08-07,Y17_Plot5,Elevated,Y17_Plot5_10,leaf,FACE
